index	case	rdc_path	rdc_sha256	recorder_png_path	recorder_png_sha256	recorder_report_path	recorder_report_sha256	target_event_policy	output_attachment_policy	width	height	format	samples	color_space	compare_policy	counter_policy	determinism_policy	feature_gate
1	build.build.capture.1	3.glmark2_80x60/build/recorder/trace/build_capture_1.rdc	321651c87000b9205d039062182f3277d3275e6be1a212fa9782c382133bd24e	3.glmark2_80x60/build/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/build/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-build-native-pco-80x60
2	bump.bump.capture.1	3.glmark2_80x60/bump/recorder/trace/bump_capture_1.rdc	8e7bd8dabbc77e5aaa75c4f9183590bc0b50507db2057a0c9d4c20e59a827f12	3.glmark2_80x60/bump/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/bump/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-bump-native-pco-80x60
3	conditionals.conditionals.capture.1	3.glmark2_80x60/conditionals/recorder/trace/conditionals_capture_1.rdc	5f5e8a2c0e7dbd1549ce67ee343e18aa97c21f4b739ff8db4bc5f70dc38dbd7d	3.glmark2_80x60/conditionals/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/conditionals/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-conditionals-native-pco-80x60
4	effect2d.effect2d.capture.1	3.glmark2_80x60/effect2d/recorder/trace/effect2d_capture_1.rdc	7ccabd2e82dc23cf3fd37d4eefa3fbbfd677c7b8a2134cd872849dde4b559e41	3.glmark2_80x60/effect2d/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/effect2d/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-effect2d-native-pco-80x60
5	ideas.ideas.capture.1	3.glmark2_80x60/ideas/recorder/trace/ideas_capture_1.rdc	df7b8092007644e785582f06664f2b7cad79478e948ea80ca6b56176574285aa	3.glmark2_80x60/ideas/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/ideas/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-ideas-native-pco-80x60
6	refract.refract.capture.1	3.glmark2_80x60/refract/recorder/trace/refract_capture_1.rdc	3c4311df274384d91aef7410a1dc14e133a0f898aa236335ca3a11afdc21760a	3.glmark2_80x60/refract/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/refract/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-refract-native-pco-sequence-80x60
7	shading.shading.capture.1	3.glmark2_80x60/shading/recorder/trace/shading_capture_1.rdc	0c35b81db91e4d8f6384e1256414b9f55eb1baf2b893d9a600d3a3a95ecd5261	3.glmark2_80x60/shading/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/shading/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-shading-native-pco-80x60
8	shadow.shadow.capture.1	3.glmark2_80x60/shadow/recorder/trace/shadow_capture_1.rdc	d4080be220fc3b2c038f492aef2d627194d3ff71607120becbfcbbe4d85666ad	3.glmark2_80x60/shadow/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/shadow/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-shadow-native-pco-sequence-80x60
9	terrain.terrain.capture.1	3.glmark2_80x60/terrain/recorder/trace/terrain_capture_1.rdc	b3df2228f30b25d1b52826dd5f1e148071b7a5f0b43622b1d273c8a9499e8aae	3.glmark2_80x60/terrain/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/terrain/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-terrain-native-pco-sequence-80x60
10	texture.texture.capture.1	3.glmark2_80x60/texture/recorder/trace/texture_capture_1.rdc	8ae5c0b894990b817a6d32008f5965e7d714087236bcaf49c3e2a7d4ef1e8d76	3.glmark2_80x60/texture/recorder/png/frame_000000.png	0000000000000000000000000000000000000000000000000000000000000000	3.glmark2_80x60/texture/recorder/Report.md	0000000000000000000000000000000000000000000000000000000000000000	final-leaf-event-v1	bound-draw-fbo-color-v1	80	60	R8G8B8A8_UNORM	1	png-decoded-rgba8	rgba8-exact-regression-v1	llvmpipe-17-exact-selection-normalized-v1	two-cold-replays-exact-v1	glmark2-texture-native-pco-80x60
